model,relation,bin,n_facts,strength_median,neutral_bare_rate,bare_rate,assert_r1_rate,explicit_stipulation_rate
gemma,country_capital,weak,71,34.7501916885376,0.18309859154929578,0.0000,0.0000,0.0000
gemma,country_capital,strong,72,44.3158745765686,0.2638888888888889,0.0000,0.0000,0.0000
gemma,element_atomic_number,weak,58,19.03124237060547,0.4482758620689655,0.2069,0.0690,0.0000
gemma,element_atomic_number,strong,58,24.483049392700195,0.3620689655172414,0.2069,0.0517,0.0000
gemma,element_symbol,weak,59,32.625,0.0847457627118644,0.0000,0.0000,0.0169
gemma,element_symbol,strong,59,39.125,0.06779661016949153,0.0000,0.0000,0.0000
qwen,country_capital,weak,73,18.834733963012695,0.0547945205479452,0.0000,0.0000,0.0000
qwen,country_capital,strong,73,23.448467254638672,0.0,0.0000,0.0000,0.0000
qwen,element_atomic_number,weak,58,14.24968147277832,0.6379310344827587,0.0172,0.0172,0.0000
qwen,element_atomic_number,strong,58,17.15856647491455,0.8103448275862069,0.0000,0.0000,0.0000
qwen,element_symbol,weak,59,17.93305778503418,0.3389830508474576,0.0000,0.0000,0.0000
qwen,element_symbol,strong,59,21.812274932861328,0.3728813559322034,0.0000,0.0000,0.0000
