relation,cell,n,context_rate,parametric_rate,other_rate,format_noncompliant_rate,mean_margin
element_symbol,assert_r1,118,0.0,1.0,0.0,0.0,-27.105049282817518
element_symbol,assert_r2,118,0.00847457627118644,0.9830508474576272,0.00847457627118644,0.0,-25.655045210304905
element_symbol,bare,118,0.07627118644067797,0.923728813559322,0.0,0.0,-15.267454171584824
element_symbol,explicit_stipulation,118,0.9915254237288136,0.00847457627118644,0.0,0.0,18.07423435631445
element_symbol,gap_base,118,0.23728813559322035,0.7627118644067796,0.0,0.0,-11.435345108226194
element_symbol,gap_both,118,0.6016949152542372,0.3983050847457627,0.0,0.0,-0.8751114182553049
element_symbol,gap_persist,118,0.01694915254237288,0.9745762711864406,0.00847457627118644,0.0,-27.63417123535932
element_symbol,gap_topic,118,0.5338983050847458,0.4661016949152542,0.0,0.0,-0.9137993909544864
element_symbol,stipulate_r1,118,0.23728813559322035,0.7627118644067796,0.0,0.0,-11.574148250838457
element_symbol,stipulate_r2,118,0.03389830508474576,0.9491525423728814,0.01694915254237288,0.0,-16.977837505987136
element_atomic_number,assert_r1,116,0.31896551724137934,0.6724137931034483,0.008620689655172414,0.0,-0.8177169766919367
element_atomic_number,assert_r2,116,0.22413793103448276,0.7672413793103449,0.008620689655172414,0.0,-4.541499170763739
element_atomic_number,bare,116,0.4051724137931034,0.5948275862068966,0.0,0.0,0.9827147845564217
element_atomic_number,explicit_stipulation,116,1.0,0.0,0.0,0.0,15.749748049111203
element_atomic_number,stipulate_r1,116,0.1206896551724138,0.853448275862069,0.02586206896551724,0.0,-7.0484960654686235
element_atomic_number,stipulate_r2,116,0.05172413793103448,0.9224137931034483,0.02586206896551724,0.0,-9.301829814910889
country_capital,assert_r1,143,0.0,1.0,0.0,0.0,-28.184175208210945
country_capital,assert_r2,143,0.0,1.0,0.0,0.0,-30.53622754845586
country_capital,bare,143,0.22377622377622378,0.7762237762237763,0.0,0.0,-9.589465791528875
country_capital,explicit_stipulation,143,1.0,0.0,0.0,0.0,27.01967028637866
country_capital,stipulate_r1,143,0.013986013986013986,0.986013986013986,0.0,0.0,-27.53819605145421
country_capital,stipulate_r2,143,0.006993006993006993,0.993006993006993,0.0,0.0,-27.598589077279286
