relation,cell,n,context_rate,parametric_rate,other_rate,mean_margin
country_capital,endpoint_high,145,0.4413793103448276,0.5586206896551724,0.0,-3.6043710445535595
country_capital,endpoint_low,145,0.027586206896551724,0.9448275862068966,0.027586206896551724,-15.785705448019094
country_capital,high_minus_claim,145,0.11724137931034483,0.8827586206896552,0.0,-12.991298872849036
country_capital,high_minus_constraint,145,0.43448275862068964,0.5655172413793104,0.0,-3.3520550694958917
country_capital,high_minus_filler,145,0.027586206896551724,0.9724137931034482,0.0,-15.421537848176627
country_capital,high_minus_question,145,0.07586206896551724,0.9241379310344827,0.0,-11.628456691215778
country_capital,low_plus_claim,145,0.027586206896551724,0.9724137931034482,0.0,-19.364564096516578
country_capital,low_plus_constraint,145,0.034482758620689655,0.9586206896551724,0.006896551724137931,-15.154261927769102
country_capital,low_plus_filler,145,0.1310344827586207,0.8482758620689655,0.020689655172413793,-9.133596407133957
country_capital,low_plus_question,145,0.041379310344827586,0.9586206896551724,0.0,-19.396693497690663
element_symbol,endpoint_high,118,0.7627118644067796,0.23728813559322035,0.0,3.1629151085675775
element_symbol,endpoint_low,118,0.00847457627118644,0.9830508474576272,0.00847457627118644,-27.706806655657495
element_symbol,high_minus_claim,118,0.025423728813559324,0.9745762711864406,0.0,-24.95365295571796
element_symbol,high_minus_constraint,118,0.5508474576271186,0.4491525423728814,0.0,-0.6567522145934024
element_symbol,high_minus_filler,118,0.8898305084745762,0.11016949152542373,0.0,7.675230511164261
element_symbol,high_minus_question,118,0.652542372881356,0.3474576271186441,0.0,1.4103044978642867
element_symbol,low_plus_claim,118,0.6440677966101694,0.3559322033898305,0.0,-0.1411835864438849
element_symbol,low_plus_constraint,118,0.00847457627118644,0.9830508474576272,0.00847457627118644,-26.579604981309277
element_symbol,low_plus_filler,118,0.00847457627118644,0.9830508474576272,0.00847457627118644,-27.868005465652985
element_symbol,low_plus_question,118,0.0423728813559322,0.9576271186440678,0.0,-21.446026458578594
