relation,cell,distance,policy,context_rate,mean_margin,n,mean_strength
element_atomic_number,stipulate_r1,d1,neutral,0.25,-3.603845755259196,12,18.033913294474285
element_atomic_number,stipulate_r1,d2,neutral,0.25,-3.499303658803304,12,18.210155328114826
element_atomic_number,stipulate_r1,d5,neutral,0.3333333333333333,-3.833656152089437,12,20.084543228149414
element_atomic_number,stipulate_r1,d20,neutral,0.3333333333333333,-4.360014756520589,12,21.387342135111492
element_atomic_number,stipulate_r1,random,neutral,0.25,-3.9718241691589355,12,24.452605088551838
element_atomic_number,stipulate_r2,d1,neutral,0.16666666666666666,-7.336941560109456,12,18.033913294474285
element_atomic_number,stipulate_r2,d2,neutral,0.08333333333333333,-6.324746290842692,12,18.210155328114826
element_atomic_number,stipulate_r2,d5,neutral,0.08333333333333333,-9.668291886647543,12,20.084543228149414
element_atomic_number,stipulate_r2,d20,neutral,0.08333333333333333,-8.798619111378988,12,21.387342135111492
element_atomic_number,stipulate_r2,random,neutral,0.16666666666666666,-9.144131183624268,12,24.452605088551838
element_atomic_number,assert_r1,d1,neutral,0.4166666666666667,0.332276185353597,12,18.033913294474285
element_atomic_number,assert_r1,d2,neutral,0.5833333333333334,3.4047576586405435,12,18.210155328114826
element_atomic_number,assert_r1,d5,neutral,0.25,-1.9975481033325195,12,20.084543228149414
element_atomic_number,assert_r1,d20,neutral,0.08333333333333333,-2.397801717122396,12,21.387342135111492
element_atomic_number,assert_r1,random,neutral,0.16666666666666666,-3.709993839263916,12,24.452605088551838
element_atomic_number,assert_r2,d1,neutral,0.25,-3.223313331604004,12,18.033913294474285
element_atomic_number,assert_r2,d2,neutral,0.5833333333333334,2.9344213803609214,12,18.210155328114826
element_atomic_number,assert_r2,d5,neutral,0.08333333333333333,-4.885170618693034,12,20.084543228149414
element_atomic_number,assert_r2,d20,neutral,0.08333333333333333,-5.378204345703125,12,21.387342135111492
element_atomic_number,assert_r2,random,neutral,0.08333333333333333,-8.468679904937744,12,24.452605088551838
element_atomic_number,bare,d1,neutral,0.0,-4.895791371663411,12,18.033913294474285
element_atomic_number,bare,d2,neutral,0.5833333333333334,3.792534510294596,12,18.210155328114826
element_atomic_number,bare,d5,neutral,0.0,-5.177407105763753,12,20.084543228149414
element_atomic_number,bare,d20,neutral,0.16666666666666666,-3.3379077911376953,12,21.387342135111492
element_atomic_number,bare,random,neutral,0.0,-4.185547828674316,12,24.452605088551838
element_atomic_number,explicit_stipulation,d1,neutral,1.0,16.78645197550456,12,18.033913294474285
element_atomic_number,explicit_stipulation,d2,neutral,1.0,16.986970901489258,12,18.210155328114826
element_atomic_number,explicit_stipulation,d5,neutral,1.0,17.46876033147176,12,20.084543228149414
element_atomic_number,explicit_stipulation,d20,neutral,1.0,14.987791856129965,12,21.387342135111492
element_atomic_number,explicit_stipulation,random,neutral,1.0,17.204757849375408,12,24.452605088551838
element_symbol,stipulate_r1,near,neutral,0.5,-0.8121744791666666,12,28.640625
element_symbol,stipulate_r1,random,neutral,0.6666666666666666,1.7721354166666667,12,33.908854166666664
element_symbol,stipulate_r2,near,neutral,0.4166666666666667,-5.865885416666667,12,28.640625
element_symbol,stipulate_r2,random,neutral,0.3333333333333333,-5.34375,12,33.908854166666664
element_symbol,assert_r1,near,neutral,0.0,-17.685709635416668,12,28.640625
element_symbol,assert_r1,random,neutral,0.0,-19.739583333333332,12,33.908854166666664
element_symbol,assert_r2,near,neutral,0.0,-17.692708333333332,12,28.640625
element_symbol,assert_r2,random,neutral,0.25,-14.613932291666666,12,33.908854166666664
element_symbol,bare,near,neutral,0.25,-7.922688802083333,12,28.640625
element_symbol,bare,random,neutral,0.5,-3.1126302083333335,12,33.908854166666664
element_symbol,explicit_stipulation,near,neutral,1.0,15.458333333333334,12,28.640625
element_symbol,explicit_stipulation,random,neutral,1.0,18.326009114583332,12,33.908854166666664
country_capital,stipulate_r1,near,neutral,0.0,-22.705102761586506,12,29.999684810638428
country_capital,stipulate_r1,random,neutral,0.0,-22.92916472752889,12,41.60384748379389
country_capital,stipulate_r2,near,neutral,0.0,-24.084657192230225,12,29.999684810638428
country_capital,stipulate_r2,random,neutral,0.0,-22.412351687749226,12,41.60384748379389
country_capital,assert_r1,near,neutral,0.0,-20.7028005917867,12,29.999684810638428
country_capital,assert_r1,random,neutral,0.0,-20.167219003041584,12,41.60384748379389
country_capital,assert_r2,near,neutral,0.0,-24.85612479845683,12,29.999684810638428
country_capital,assert_r2,random,neutral,0.0,-21.175655047098797,12,41.60384748379389
country_capital,bare,near,neutral,0.25,-6.434739987055461,12,29.999684810638428
country_capital,bare,random,neutral,0.5,-2.9120680491129556,12,41.60384748379389
country_capital,explicit_stipulation,near,neutral,1.0,24.86445387204488,12,29.999684810638428
country_capital,explicit_stipulation,random,neutral,1.0,26.25145411491394,12,41.60384748379389
