relation,cell,n,context_rate,parametric_rate,other_rate,format_noncompliant_rate,mean_margin
element_symbol,assert_r1,118,0.0,1.0,0.0,0.0,-7.244910999879998
element_symbol,assert_r2,118,0.0,1.0,0.0,0.0,-8.905959856712212
element_symbol,bare,118,0.3559322033898305,0.6440677966101694,0.0,0.0,-0.43489881289207327
element_symbol,explicit_stipulation,118,0.9491525423728814,0.05084745762711865,0.0,0.0,1.8000650890802934
element_symbol,gap_base,118,0.0,1.0,0.0,0.0,-8.384495185593428
element_symbol,gap_both,118,0.0,1.0,0.0,0.0,-7.188111272908873
element_symbol,gap_persist,118,0.0,1.0,0.0,0.0,-8.111170865721622
element_symbol,gap_topic,118,0.0,1.0,0.0,0.0,-10.093193539118362
element_symbol,stipulate_r1,118,0.0,1.0,0.0,0.0,-8.433041410931086
element_symbol,stipulate_r2,118,0.0,1.0,0.0,0.0,-9.901092610116732
element_atomic_number,assert_r1,116,0.017241379310344827,0.9827586206896551,0.0,0.0,-4.059723492326407
element_atomic_number,assert_r2,116,0.017241379310344827,0.9827586206896551,0.0,0.0,-5.166238587478111
element_atomic_number,bare,116,0.7241379310344828,0.27586206896551724,0.0,0.0,1.1095450499962116
element_atomic_number,explicit_stipulation,116,1.0,0.0,0.0,0.0,6.9841756656252105
element_atomic_number,stipulate_r1,116,0.0,1.0,0.0,0.0,-5.06926127137809
element_atomic_number,stipulate_r2,116,0.008620689655172414,0.9913793103448276,0.0,0.0,-6.340607264946247
country_capital,assert_r1,146,0.0,1.0,0.0,0.0,-11.064122918533952
country_capital,assert_r2,146,0.0,0.9931506849315068,0.00684931506849315,0.0,-11.819750093433955
country_capital,bare,146,0.0273972602739726,0.9657534246575342,0.00684931506849315,0.00684931506849315,-4.2770385219626235
country_capital,explicit_stipulation,146,1.0,0.0,0.0,0.0,7.021436155658879
country_capital,stipulate_r1,146,0.0,1.0,0.0,0.0,-16.912014961242676
country_capital,stipulate_r2,146,0.0,1.0,0.0,0.0,-16.750426403463702
